Name of Restaurants,City,Country Code,Day of Week,Start time(hour),Start time(mins),End time(hour),End time(mins)
8Bit,Melbourne,AU,5,11,0,23,0
,,,,,,,
8Bit,Melbourne,AU,6,11,0,23,0
,,,,,,,
90 Secondi,Melbourne,AU,0,7,30,17,0
,,,,,,,
90 Secondi,Melbourne,AU,1,7,30,17,0
,,,,,,,
90 Secondi,Melbourne,AU,2,7,30,17,0
,,,,,,,
90 Secondi,Melbourne,AU,3,7,30,0,0
,,,,,,,
90 Secondi,Melbourne,AU,4,7,30,0,0
,,,,,,,
90 Secondi,Melbourne,AU,5,18,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,1,17,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,2,17,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,3,17,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,4,17,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,5,17,0,0,0
,,,,,,,
A Fish Called Inglewood,Inglewood,AU,6,17,0,0,0
,,,,,,,
A25,Melbourne,AU,0,7,30,22,0
,,,,,,,
A25,Melbourne,AU,1,7,30,22,0
,,,,,,,
A25,Melbourne,AU,2,7,30,22,0
,,,,,,,
A25,Melbourne,AU,3,7,30,22,0
,,,,,,,
A25,Melbourne,AU,4,7,30,22,0
,,,,,,,
A25,Melbourne,AU,5,7,30,22,0
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,0,11,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,1,11,0,14,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,1,17,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,2,11,0,14,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,2,17,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,3,11,0,14,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,3,17,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,4,11,0,14,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,4,17,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,5,11,0,21,30
,,,,,,,
Aamaya Indian Restaurant,Brisbane,AU,6,11,0,21,30
,,,,,,,
Abb Air,Sydney,AU,0,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,1,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,2,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,3,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,4,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,5,11,0,1,0
,,,,,,,
Abb Air,Sydney,AU,6,11,0,1,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,0,8,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,1,8,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,2,8,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,3,8,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,4,8,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,5,9,30,0,0
,,,,,,,
ACMI Cafe & Bar,Melbourne,AU,6,10,0,0,0
,,,,,,,
Adelphi Grill,Perth,AU,0,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,1,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,2,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,3,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,4,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,5,11,30,21,30
,,,,,,,
Adelphi Grill,Perth,AU,6,11,30,21,30
,,,,,,,
Aero Cafe & Bar,Sydney,AU,0,8,0,23,0
,,,,,,,
Aero Cafe & Bar,Sydney,AU,1,8,0,23,0
,,,,,,,
Aero Cafe & Bar,Sydney,AU,2,8,0,23,0
,,,,,,,
Aero Cafe & Bar,Sydney,AU,3,8,0,23,0
,,,,,,,
Aero Cafe & Bar,Sydney,AU,4,8,0,23,0
,,,,,,,
